Datetime,altitud,longitud,latitud,dirviento,nubosidad,temperatura,vapor,velviento,rocio,irradiancia
2016-01-01 07:00:00,8.0,-75.14787500000001,10.682513890000001,243.75,1.8888888888888888,25.442592592592593,28.30900979298385,2.9333333333333336,23.0287513806208,331.42663569871536
2016-01-01 13:00:00,8.0,-75.14787500000001,10.682513890000001,333.75,1.8409090909090908,31.688709677419357,29.50099444840426,4.158333333333333,23.96754765051422,296.08185079198097
2016-01-01 19:00:00,8.0,-75.147875,10.68251389,202.5,2.0232558139534884,27.914893617021278,29.717485979480923,3.8249999999999997,23.755990952753848,0.30799223605985143
2016-01-02 07:00:00,8.0,-75.14787500000001,10.682513890000001,127.5,2.0943396226415096,24.77857142857143,28.220147632919744,2.5416666666666665,23.010453842508436,305.1020638346237
2016-01-02 13:00:00,8.0,-75.14787500000001,10.682513890000001,356.25,1.8235294117647058,31.346031746031745,28.558099564529847,3.766666666666666,23.185466214419442,336.7866594754556
2016-01-02 19:00:00,8.0,-75.147875,10.68251389,337.5,1.6923076923076923,27.41875,29.44425299086071,2.125,23.5456667582554,0.1201988088298045
2016-01-03 07:00:00,8.0,-75.14787500000001,10.682513890000001,311.25,1.4615384615384615,24.45090909090909,27.775974440476933,2.4499999999999997,22.666499495409074,405.5179292768626
2016-01-03 13:00:00,8.0,-75.14787500000001,10.682513890000001,341.25,1.3962264150943395,32.567213114754104,28.609599571026106,4.341666666666667,23.31869583029832,425.36087406784634
2016-01-03 19:00:00,8.0,-75.147875,10.68251389,360.0,1.4339622641509433,28.108695652173914,29.941745855417743,2.6666666666666665,23.860372671556977,0.1201988088298045
2016-01-04 07:00:00,8.0,-75.14787500000001,10.682513890000001,221.33333333333334,1.6,24.570909090909094,28.109855653531024,2.5749999999999997,22.853769597587114,385.77566827639754
2016-01-04 13:00:00,8.0,-75.14787500000001,10.682513890000001,337.5,1.4727272727272727,32.42063492063492,29.42201967238051,3.733333333333333,23.813457433109853,392.07565878864125
2016-01-04 19:00:00,8.0,-75.147875,10.68251389,337.5,1.490909090909091,28.206382978723404,29.574496243212515,2.3,23.628285448386688,0.33865754541929266
2016-01-05 07:00:00,8.0,-75.14787500000001,10.682513890000001,337.5,1.7272727272727273,25.263157894736842,29.30594863132906,3.1833333333333336,23.592427544678053,353.94454877894117
2016-01-05 13:00:00,8.0,-75.14787500000001,10.682513890000001,352.5,1.4181818181818182,32.040625,29.277813588605262,5.608333333333333,23.55275270318737,362.3251767247152
2016-01-05 19:00:00,8.0,-75.147875,10.68251389,337.5,1.6181818181818182,27.846938775510203,29.600435201193896,3.0500000000000003,23.646407942323982,0.40188894967487493
2016-01-06 07:00:00,8.0,-75.14787500000001,10.682513890000001,243.75,1.6603773584905661,24.98771929824561,28.857104708247633,2.8666666666666667,23.36801309785137,356.23414550784696
2016-01-06 13:00:00,8.0,-75.14787500000001,10.682513890000001,356.3333333333333,1.4259259259259258,31.7640625,29.169009350645084,4.841666666666667,23.648738431078463,381.11118454674914
2016-01-06 19:00:00,8.0,-75.147875,10.68251389,337.5,1.4545454545454546,27.96530612244898,29.668851871851636,3.358333333333333,23.724887714589045,0.0
2016-01-07 07:00:00,8.0,-75.14787500000001,10.682513890000001,232.5,1.6296296296296295,24.977192982456142,28.702253466045686,2.9,23.237210422914785,353.24045037513196
2016-01-07 13:00:00,8.0,-75.14787500000001,10.682513890000001,330.0,1.3703703703703705,32.053125,29.790094358123262,4.366666666666666,23.91191710278682,393.9188358942403
2016-01-07 19:00:00,8.0,-75.147875,10.68251389,337.5,1.537037037037037,28.23061224489796,29.709545968664557,4.766666666666667,23.733429015960088,0.1201988088298045
2016-01-08 07:00:00,8.0,-75.14787500000001,10.682513890000001,146.25,1.4528301886792452,25.214285714285715,28.721807486244106,3.2416666666666667,23.239595095995266,359.2791627325421
2016-01-08 13:00:00,8.0,-75.14787500000001,10.682513890000001,356.25,1.2830188679245282,32.16935483870968,29.103211318442607,5.058333333333333,23.558126585140567,403.53226136377987
2016-01-08 19:00:00,8.0,-75.147875,10.68251389,360.0,1.4230769230769231,28.150000000000002,29.525760906619386,4.0,23.660523301318445,0.3342943312746325
2016-01-09 07:00:00,8.0,-75.14787500000001,10.682513890000001,191.25,1.537037037037037,24.95,28.141169268577546,3.658333333333333,22.925163771943204,384.75809966339983
2016-01-09 13:00:00,8.0,-75.14787500000001,10.682513890000001,356.25,1.2830188679245282,32.234375,28.554471078931773,6.2250000000000005,23.284896014854795,410.89486889779755
2016-01-09 19:00:00,8.0,-75.147875,10.68251389,360.0,1.4615384615384615,27.870833333333334,28.801112153021997,3.5500000000000003,23.223648609085405,0.4544931401044369
2016-01-10 07:00:00,8.0,-75.14787500000001,10.682513890000001,247.5,1.6037735849056605,24.55087719298246,27.409025198877398,2.6666666666666665,22.494486419632604,400.6734614317284
2016-01-10 13:00:00,8.0,-75.14787500000001,10.682513890000001,333.75,1.4230769230769231,31.834375,28.666183412914165,5.133333333333334,23.33800541981836,377.43960803782994
2016-01-10 19:00:00,8.0,-75.147875,10.68251389,315.0,1.490566037735849,27.655102040816324,29.216760403184082,5.833333333333333,23.496798231522714,0.49420756726275517
2016-01-11 07:00:00,8.0,-75.14787500000001,10.682513890000001,232.5,1.6481481481481481,24.791071428571428,27.701998853869096,2.733333333333333,22.62867409219154,358.9010048567514
2016-01-11 13:00:00,8.0,-75.14787500000001,10.682513890000001,333.75,1.4259259259259258,31.74,28.060522073852802,4.558333333333334,23.018133918985363,413.26758421881243
